unix_time,timestamp,gpu_index,gpu_name,memory_used_mib,memory_total_mib,memory_percent
1774626040.607,2026-03-27T15:40:40,3,NVIDIA H200,4,143771,0.0028
1774626040.607,2026-03-27T15:40:40,4,NVIDIA H200,4,143771,0.0028
1774626040.607,2026-03-27T15:40:40,5,NVIDIA H200,4,143771,0.0028
1774626040.607,2026-03-27T15:40:40,6,NVIDIA H200,4,143771,0.0028
1774626040.607,2026-03-27T15:40:40,7,NVIDIA H200,4,143771,0.0028
1774626041.608,2026-03-27T15:40:41,0,NVIDIA H200,4,143771,0.0028
1774626041.608,2026-03-27T15:40:41,1,NVIDIA H200,4,143771,0.0028
1774626041.608,2026-03-27T15:40:41,2,NVIDIA H200,4,143771,0.0028
1774626041.608,2026-03-27T15:40:41,3,NVIDIA H200,4,143771,0.0028
1774626041.608,2026-03-27T15:40:41,4,NVIDIA H200,4,143771,0.0028
1774626041.608,2026-03-27T15:40:41,5,NVIDIA H200,4,143771,0.0028
1774626041.608,2026-03-27T15:40:41,6,NVIDIA H200,4,143771,0.0028
1774626041.608,2026-03-27T15:40:41,7,NVIDIA H200,4,143771,0.0028
1774626042.609,2026-03-27T15:40:42,0,NVIDIA H200,4,143771,0.0028
1774626042.609,2026-03-27T15:40:42,1,NVIDIA H200,4,143771,0.0028
1774626042.609,2026-03-27T15:40:42,2,NVIDIA H200,4,143771,0.0028
1774626042.609,2026-03-27T15:40:42,3,NVIDIA H200,4,143771,0.0028
1774626042.609,2026-03-27T15:40:42,4,NVIDIA H200,4,143771,0.0028
1774626042.609,2026-03-27T15:40:42,5,NVIDIA H200,4,143771,0.0028
1774626042.609,2026-03-27T15:40:42,6,NVIDIA H200,4,143771,0.0028
1774626042.609,2026-03-27T15:40:42,7,NVIDIA H200,4,143771,0.0028
1774626043.610,2026-03-27T15:40:43,0,NVIDIA H200,4,143771,0.0028
1774626043.610,2026-03-27T15:40:43,1,NVIDIA H200,4,143771,0.0028
1774626043.610,2026-03-27T15:40:43,2,NVIDIA H200,4,143771,0.0028
1774626043.610,2026-03-27T15:40:43,3,NVIDIA H200,4,143771,0.0028
1774626043.610,2026-03-27T15:40:43,4,NVIDIA H200,4,143771,0.0028
1774626043.610,2026-03-27T15:40:43,5,NVIDIA H200,4,143771,0.0028
1774626043.610,2026-03-27T15:40:43,6,NVIDIA H200,4,143771,0.0028
1774626043.610,2026-03-27T15:40:43,7,NVIDIA H200,4,143771,0.0028
1774626044.611,2026-03-27T15:40:44,0,NVIDIA H200,4,143771,0.0028
1774626044.611,2026-03-27T15:40:44,1,NVIDIA H200,4,143771,0.0028
1774626044.611,2026-03-27T15:40:44,2,NVIDIA H200,4,143771,0.0028
1774626044.611,2026-03-27T15:40:44,3,NVIDIA H200,4,143771,0.0028
1774626044.611,2026-03-27T15:40:44,4,NVIDIA H200,4,143771,0.0028
1774626044.611,2026-03-27T15:40:44,5,NVIDIA H200,4,143771,0.0028
1774626044.611,2026-03-27T15:40:44,6,NVIDIA H200,4,143771,0.0028
1774626044.611,2026-03-27T15:40:44,7,NVIDIA H200,4,143771,0.0028
1774626045.612,2026-03-27T15:40:45,0,NVIDIA H200,4,143771,0.0028
1774626045.612,2026-03-27T15:40:45,1,NVIDIA H200,4,143771,0.0028
